file	status	observation	limits
api26/tracks.csv-review.complete.large.png	Verified	Import Complete, the exact two-Entry outcome and Done are visible without scrolling to find the result. The receipt wraps completely above the remaining file context.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api26/tracks.csv-review.complete.ordinary.png	Verified	Import Complete, the exact two-Entry outcome and Done are visible without scrolling to find the result.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api26/tracks.csv-review.ready.large.png	Verified	File identity, effective fallback date and mapping controls have clear hierarchy above fixed import actions. The preview is below the opening viewport and is reached through the body scroll.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api26/tracks.csv-review.ready.ordinary.png	Verified	File identity, effective fallback date and mapping controls have clear hierarchy above fixed import actions. The preview is below the opening viewport and is reached through the body scroll.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api26/tracks.csv-review.remapped.large.png	Verified	The Name visibly reads Wind, then rain after selecting Notes; label/value hierarchy exposes the wrong valid mapping.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api26/tracks.csv-review.remapped.ordinary.png	Verified	The Name visibly reads Wind, then rain after selecting Notes; label/value hierarchy exposes the wrong valid mapping.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api26/tracks.csv-review.second.large.png	Verified	The second Entry retains readable multiline Notes, Visit date and Yes above the fixed action row.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api26/tracks.csv-review.second.ordinary.png	Verified	The second Entry retains readable multiline Notes, Visit date and Yes above the fixed action row. Hill circuit, 2.00 km, Street and 4 are also visible in this frame.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api34/tracks.csv-review.complete.large.png	Verified	Import Complete, the exact two-Entry outcome and Done are visible without scrolling to find the result.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api34/tracks.csv-review.complete.ordinary.png	Verified	Import Complete, the exact two-Entry outcome and Done are visible without scrolling to find the result.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api34/tracks.csv-review.ready.large.png	Verified	File identity, effective fallback date and mapping controls have clear hierarchy above fixed import actions. The Entry Preview heading/navigation reaches the lower viewport; values require scrolling.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api34/tracks.csv-review.ready.ordinary.png	Verified	File identity, effective fallback date and mapping controls have clear hierarchy above fixed import actions. The first interpreted date, Name and unit-qualified Distance are visible below validation.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api34/tracks.csv-review.remapped.large.png	Verified	The Name visibly reads Wind, then rain after selecting Notes; label/value hierarchy exposes the wrong valid mapping. Unit-qualified Distance, Choice and Scale values remain distinct.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api34/tracks.csv-review.remapped.ordinary.png	Verified	The Name visibly reads Wind, then rain after selecting Notes; label/value hierarchy exposes the wrong valid mapping. Unit-qualified Distance, Choice and Scale values remain distinct.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api34/tracks.csv-review.second.large.png	Verified	The second Entry retains readable multiline Notes, Visit date and Yes above the fixed action row. Hill circuit, 2.00 km, Street and 4 are also visible in this frame.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api34/tracks.csv-review.second.ordinary.png	Verified	The second Entry retains readable multiline Notes, Visit date and Yes above the fixed action row. Hill circuit, 2.00 km, Street and 4 are also visible in this frame.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api37/tracks.csv-review.complete.large.png	Verified	Import Complete, the exact two-Entry outcome and Done are visible without scrolling to find the result.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api37/tracks.csv-review.complete.ordinary.png	Verified	Import Complete, the exact two-Entry outcome and Done are visible without scrolling to find the result.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api37/tracks.csv-review.ready.large.png	Verified	File identity, effective fallback date and mapping controls have clear hierarchy above fixed import actions. The Entry Preview heading/navigation reaches the lower viewport; values require scrolling.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api37/tracks.csv-review.ready.ordinary.png	Verified	File identity, effective fallback date and mapping controls have clear hierarchy above fixed import actions. The first interpreted date, Name and unit-qualified Distance are visible below validation.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
api37/tracks.csv-review.remapped.large.png	Verified	The Name visibly reads Wind, then rain after selecting Notes; label/value hierarchy exposes the wrong valid mapping. Unit-qualified Distance, Choice and Scale values remain distinct.	Personal rendered review of this scroll position; passing journey checks additional values/recreation. No RTL/TalkBack claim.
