file	run	review	scope
before-phone/tracks.record-builder.entries.png	86860fd7_API34_3_METHODS	Original PNG personally inspected; matching XML validated for named interaction nodes	Unchanged-production phone baseline for normal reading/actions; compare the matched final state.
before-phone/settings.item-builder.choice-value.png	86860fd7_API34_3_METHODS	Original PNG personally inspected; matching XML validated for named interaction nodes	Unchanged-production phone baseline for normal reading/actions; compare the matched final state.
before-phone/habits.productivity-builder.timer-expanded.png	86860fd7_API34_3_METHODS	Original PNG personally inspected; matching XML validated for named interaction nodes	Unchanged-production phone baseline for normal reading/actions; compare the matched final state.
before-wide/tracks.record-builder.entries.png	86860fd7_API37_3_METHODS	Original PNG personally inspected; matching XML validated for named interaction nodes	Unchanged-production wide baseline: outer Tracks overview duplicates browser/activity context; Settings and Habit labels/actions span the remaining pane.
before-wide/settings.item-builder.choice-value.png	86860fd7_API37_3_METHODS	Original PNG personally inspected; matching XML validated for named interaction nodes	Unchanged-production wide baseline: outer Tracks overview duplicates browser/activity context; Settings and Habit labels/actions span the remaining pane.
before-wide/habits.productivity-builder.timer-expanded.png	86860fd7_API37_3_METHODS	Original PNG personally inspected; matching XML validated for named interaction nodes	Unchanged-production wide baseline: outer Tracks overview duplicates browser/activity context; Settings and Habit labels/actions span the remaining pane.
before-wide/tracks.record-builder.activity.png	86860fd7_API37_3_METHODS	Original PNG personally inspected; matching XML validated for named interaction nodes	Unchanged-production wide baseline: outer Tracks overview duplicates browser/activity context; Settings and Habit labels/actions span the remaining pane.
before-wide/settings.item-builder.saved-value.png	86860fd7_API37_3_METHODS	Original PNG personally inspected; matching XML validated for named interaction nodes	Unchanged-production wide baseline: outer Tracks overview duplicates browser/activity context; Settings and Habit labels/actions span the remaining pane.
phone/habits.productivity-builder.timer-expanded.png	V3IwiZ	Original PNG personally inspected; matching XML validated for named interaction nodes	Title, disclosure, Stop, timer status and Edit retain a consistent order; wide serial work is centered. Native recreation preserves the running timer.
phone/habits.productivity-builder.timer-stopped.png	V3IwiZ	Original PNG personally inspected; matching XML validated for named interaction nodes	Start replaces Stop with one idle summary. Exact timer log and Habit identity remain unchanged by presentation.
phone/settings.item-builder.choice-value.png	V3IwiZ	Original PNG personally inspected; matching XML validated for named interaction nodes	Appearance choices, descriptions and chosen Area remain legible; wide header and values share the reading column with category navigation retained. Phone preserves existing scroll position.
phone/settings.item-builder.saved-value.png	V3IwiZ	Original PNG personally inspected; matching XML validated for named interaction nodes	Reopened confirmed precision 3 is visible with unit settings and existing category navigation. Typed drafts still require explicit Save.
phone/tracks.record-builder.actions.png	V3IwiZ	Original PNG personally inspected; matching XML validated for named interaction nodes	Open Track and destructive Delete Entry remain distinct in the anchored menu; native navigation and deletion review are exercised.
phone/tracks.record-builder.activity.png	V3IwiZ	Original PNG personally inspected; matching XML validated for named interaction nodes	Record reading order and native edit actions are retained. Wide chronological reading is centered without the duplicate statistics sidebar.
phone/tracks.record-builder.archived.png	V3IwiZ	Original PNG personally inspected; matching XML validated for named interaction nodes	Archived records expose saved facts and inspection without Entry mutations. Restore Track and existing definition editing remain available.
phone/tracks.record-builder.entries.png	V3IwiZ	Original PNG personally inspected; matching XML validated for named interaction nodes	Native long titles and complete facts retain direct actions. Wide view has one feature-owned list/detail browser; phone keeps the prior compact detail structure.
phone/tracks.record-builder.insights.png	V3IwiZ	Original PNG personally inspected; matching XML validated for named interaction nodes	Exact three-Field total remains accessible in existing Insights. Full metric-row hierarchy merits separate design review; this verifies aggregate retention and shared width only.
