file	run	review	scope
before/gym.531-cycle.workout.png	Yr3f0E	Personally reviewed original PNG and corresponding XML	Unchanged-production baseline: full source repeated in NEXT, redundant Up next and longer scope place the first load partly below the viewport. Shared wide reading policy and full-product acceptance remain open.
before/gym.531-cycle.history.png	Yr3f0E	Personally reviewed original PNG and corresponding XML	Unchanged-production baseline: generated template instructions precede the original performed Set in History. Shared wide reading policy and full-product acceptance remain open.
phone/gym.531-cycle.setup.png	rlQY4S	Personally reviewed original PNG and corresponding XML	Existing guided selection and Training Max inputs remain usable; duplicate Exercise headings and verbose setup guidance remain a follow-up. Shared wide reading policy and full-product acceptance remain open.
phone/gym.531-cycle.workout.png	rlQY4S	Personally reviewed original PNG and corresponding XML	NEXT separates practical target from Set provenance; concise workout-only scope and removal of redundant Up next improve initial hierarchy. Shared wide reading policy and full-product acceptance remain open.
phone/gym.531-cycle.focused-set.png	rlQY4S	Personally reviewed original PNG and corresponding XML	Next Set reveals identity, menu, detailed target, load, reps and Complete Set below the measured pinned lane at normal scale. Shared wide reading policy and full-product acceptance remain open.
phone/gym.531-cycle.cycle-complete.png	rlQY4S	Personally reviewed original PNG and corresponding XML	Performed values, outcome, complete target and exact actions retain the passive Set reading order. Shared wide reading policy and full-product acceptance remain open.
phone/gym.531-cycle.review.png	rlQY4S	Personally reviewed original PNG and corresponding XML	Complete single-Exercise review keeps evidence, all choices, live next-TM summary and explicit Apply action readable. Shared wide reading policy and full-product acceptance remain open.
phone/gym.531-cycle.decision.png	rlQY4S	Personally reviewed original PNG and corresponding XML	After Hold survives recreation, explicit Standard selection visibly states next TM 102.5; no change applies until confirmation. Shared wide reading policy and full-product acceptance remain open.
phone/gym.531-cycle.next-cycle.png	rlQY4S	Personally reviewed original PNG and corresponding XML	Cycle 2 shows a newly resolved 67.5 kg target; previous performance remains a distinct optional action. Shared wide reading policy and full-product acceptance remain open.
phone/gym.531-cycle.history.png	rlQY4S	Personally reviewed original PNG and corresponding XML	Cycle 1 retains performed 65 kg x 5 reps and original prescription; new workouts no longer begin History with template instructions. Shared wide reading policy and full-product acceptance remain open.
phone/gym.rest-journey.automatic.png	rlQY4S	Personally reviewed original PNG and corresponding XML	Completed-Set disclosure, active Set menu and running rest actions remain visible and named after automatic follow. Shared wide reading policy and full-product acceptance remain open.
wide/gym.531-cycle.setup.png	API37_3_METHODS	Personally reviewed original PNG and corresponding XML	Existing guided selection and Training Max inputs remain usable; duplicate Exercise headings and verbose setup guidance remain a follow-up. Shared wide reading policy and full-product acceptance remain open.
wide/gym.531-cycle.workout.png	API37_3_METHODS	Personally reviewed original PNG and corresponding XML	NEXT separates practical target from Set provenance; concise workout-only scope and removal of redundant Up next improve initial hierarchy. Shared wide reading policy and full-product acceptance remain open.
wide/gym.531-cycle.focused-set.png	API37_3_METHODS	Personally reviewed original PNG and corresponding XML	Next Set reveals identity, menu, detailed target, load, reps and Complete Set below the measured pinned lane at normal scale. Shared wide reading policy and full-product acceptance remain open.
wide/gym.531-cycle.cycle-complete.png	API37_3_METHODS	Personally reviewed original PNG and corresponding XML	Performed values, outcome, complete target and exact actions retain the passive Set reading order. Shared wide reading policy and full-product acceptance remain open.
wide/gym.531-cycle.review.png	API37_3_METHODS	Personally reviewed original PNG and corresponding XML	Complete single-Exercise review keeps evidence, all choices, live next-TM summary and explicit Apply action readable. Shared wide reading policy and full-product acceptance remain open.
wide/gym.531-cycle.decision.png	API37_3_METHODS	Personally reviewed original PNG and corresponding XML	After Hold survives recreation, explicit Standard selection visibly states next TM 102.5; no change applies until confirmation. Shared wide reading policy and full-product acceptance remain open.
wide/gym.531-cycle.next-cycle.png	API37_3_METHODS	Personally reviewed original PNG and corresponding XML	Cycle 2 shows a newly resolved 67.5 kg target; previous performance remains a distinct optional action. Shared wide reading policy and full-product acceptance remain open.
wide/gym.531-cycle.history.png	API37_3_METHODS	Personally reviewed original PNG and corresponding XML	Cycle 1 retains performed 65 kg x 5 reps and original prescription; new workouts no longer begin History with template instructions. Shared wide reading policy and full-product acceptance remain open.
wide/gym.rest-journey.automatic.png	API37_3_METHODS	Personally reviewed original PNG and corresponding XML	Completed-Set disclosure, active Set menu and running rest actions remain visible and named after automatic follow. Shared wide reading policy and full-product acceptance remain open.
